brand;Social Perception Score Eco-Friendliness;Social Perception Score Luxury;Social Perception Score Nutrition;Survey Score Eco-Friendliness;Survey Score Luxury;Survey Score Nutrition;Sector;Brand Name;Brand Text
Abercrombie;0.005557090;0.017063000;0.002798560;2.247148289;2.731034483;;apparel;Abercrombie;AberCr
Acura;0.015283700;0.034052400;0.006514650;2.744630072;2.896457766;;car;Acura;Acura
Adidasus;0.009700110;0.023165100;0.005174770;2.554307116;2.188552189;;apparel;Adidas;Adidas
Aeropostale;0.007465940;0.016235500;0.005335310;2.379166667;2.244444444;;apparel;Aeropostale;AeroP
Airheads;0.012387900;0.014992600;0.010785700;1.773504274;;;food;Airheads;AHeads
Americanapparel;0.008895300;0.029304200;0.005258520;2.700892857;2.401606426;;apparel;American Apparel;AApparel
Anntaylor;0.017333500;0.045712500;0.015465900;2.432558140;3.143426295;;apparel;Ann Taylor;ATaylor
Armaniexchange;0.010547900;0.038480300;0.006034160;2.066350711;4.188679245;;apparel;Armani Exchange;Armani
Astonmartin;0.013176800;0.037155700;0.004719740;1.886010363;4.722713864;;car;Aston Martin;AMartin
Audi;0.012030300;0.028068100;0.004260270;2.642857143;3.676630435;;car;Audi;Audi
Aveda;0.020664800;0.035939300;0.012541000;3.397540984;;;personal_care;Aveda;Aveda
Axe;0.010578000;0.017317300;0.006538380;1.687719298;;;personal_care;Axe;Axe
Bananarepublic;0.014361900;0.041814100;0.010856600;2.603846154;2.889655172;;apparel;Banana Republic;BananaR
Bathbodyworks;0.009335860;0.023091000;0.007188220;2.723684211;;;personal_care;Bath & Body;B&B
Bentleymotors;0.014156800;0.038990000;0.005080290;1.896385542;4.775000000;;car;Bentley;Bentley
Bertolli;0.017298800;0.024137300;0.034198000;2.565400844;;2.602649007;food;Bertolli;Bertolli
Bmwusa;0.013974200;0.039987100;0.004651720;2.430588235;3.981182796;;car;BMW;BMW
Breyers;0.016320500;0.025667800;0.019134400;2.437984496;;1.668730650;food;Breyers;Breyers
Buick;0.017630600;0.032196900;0.007460420;2.278959811;2.437837838;;car;Buick;Buick
Burtsbees;0.025726400;0.029392300;0.021944800;4.279720280;;;personal_care;Burt's Bees;Burt'sB
Cadburyuk;0.008081650;0.017915900;0.004565600;2.168674699;;;food;Cadbury;Cadbury
Cadillac;0.015985900;0.033888600;0.006033180;2.044705882;3.643431635;;car;Cadillac;Cadillac
Calvinklein;0.010238200;0.032934000;0.003750250;2.395522388;3.370748299;;apparel;Calvin Klein;CK
Championusa;0.012312800;0.018549100;0.035017400;2.598290598;1.733590734;;apparel;Champion;Champ
Chanel;0.008565980;0.028145500;0.003357130;2.084337349;4.571428571;;apparel;Chanel;Chanel
Cheerios;0.016675700;0.023310000;0.023477500;2.880149813;;3.428152493;food;Cheerios;Cheerios
Chevrolet;0.014567500;0.024543800;0.006158140;2.585882353;2.010752688;;car;Chevrolet;Chev
Chrysler;0.019826100;0.031075400;0.008316150;2.390070922;2.312668464;;car;Chrysler;Chrys
Cleanandclear;0.010027600;0.018532200;0.005897520;2.368821293;;;personal_care;Clean & clear;C&C
Clearasil;0.009281340;0.016083400;0.009806850;2.327814570;;;personal_care;Clearasil;ClearA
Clifbar;0.022738700;0.018461300;0.027795900;3.587155963;;;food;Clif Bar;Clif Bar
Clinique;0.012597600;0.043375200;0.009083270;2.715328467;;;personal_care;Clinique;Clini
Cocacola;0.010114100;0.017830600;0.004846660;1.996254682;;1.202346041;food;Coca-Cola;Coke
Converse;0.008425420;0.021063500;0.004368140;2.768060837;1.876288660;;apparel;Converse;Conv
