Date,Open,High,Low,Close,Adj Close,Volume,Brand Abbreviation,pct_change,Brand Name
2019-07-01,50.79,51.12,50.16,50.39,49.03,109012000,AAPL,,Apple
2019-07-02,50.35,50.78,50.34,50.68,49.32,67740800,AAPL,0.5755110140901021,Apple
2019-07-03,50.82,51.11,50.67,51.1,49.73,45448000,AAPL,0.8287292817679592,Apple
2019-07-05,50.84,51.27,50.72,51.06,49.68,69062000,AAPL,-0.07827788649705791,Apple
2019-07-08,50.2,50.35,49.6,50.01,48.66,101354400,AAPL,-2.056404230317277,Apple
2019-07-09,49.8,50.38,49.7,50.31,48.95,82312000,AAPL,0.5998800239952029,Apple
2019-07-10,50.46,50.93,50.39,50.81,49.44,71588400,AAPL,0.993838203140518,Apple
2019-07-11,50.83,51.1,50.43,50.44,49.08,80767200,AAPL,-0.7282031096241037,Apple
2019-07-12,50.61,51.0,50.55,50.83,49.46,70380800,AAPL,0.773195876288657,Apple
2019-07-15,51.02,51.47,51.0,51.3,49.92,67789600,AAPL,0.9246507967735518,Apple
2019-07-16,51.15,51.53,50.88,51.12,49.75,67467200,AAPL,-0.35087719298245723,Apple
2019-07-17,51.01,51.27,50.82,50.84,49.47,56430000,AAPL,-0.547730829420956,Apple
2019-07-18,51.0,51.47,50.92,51.42,50.03,74162400,AAPL,1.1408339889850572,Apple
2019-07-19,51.45,51.62,50.59,50.65,49.28,83717200,AAPL,-1.4974718008557097,Apple
2019-07-22,50.91,51.81,50.9,51.8,50.41,89111600,AAPL,2.270483711747273,Apple
2019-07-23,52.12,52.23,51.82,52.21,50.8,73420800,AAPL,0.7915057915057977,Apple
2019-07-24,51.92,52.29,51.79,52.17,50.76,59966400,AAPL,-0.07661367554108178,Apple
2019-07-25,52.22,52.31,51.68,51.76,50.36,55638400,AAPL,-0.7858922752539854,Apple
2019-07-26,51.87,52.43,51.78,51.94,50.54,70475600,AAPL,0.34775888717155645,Apple
2019-07-29,52.12,52.66,52.11,52.42,51.01,86693600,AAPL,0.9241432422025575,Apple
2019-07-30,52.19,52.54,51.83,52.2,50.79,135742800,AAPL,-0.41968714231209736,Apple
2019-07-31,54.1,55.34,52.83,53.26,51.82,277125600,AAPL,2.030651340996159,Apple
2019-08-01,53.47,54.51,51.69,52.11,50.7,216071600,AAPL,-2.1592189260232764,Apple
2019-08-02,51.38,51.61,50.41,51.01,49.63,163448400,AAPL,-2.1109192093648033,Apple
2019-08-05,49.5,49.66,48.14,48.33,47.03,209572000,AAPL,-5.253871789845133,Apple
2019-08-06,49.08,49.52,48.51,49.25,47.92,143299200,AAPL,1.903579557210855,Apple
2019-08-07,48.85,49.89,48.46,49.76,48.42,133457600,AAPL,1.035532994923849,Apple
2019-08-08,50.05,50.88,49.85,50.86,49.49,108038000,AAPL,2.2106109324758982,Apple
2019-08-09,50.33,50.69,49.82,50.25,49.08,98478800,AAPL,-1.1993708218639432,Apple
2019-08-12,49.9,50.51,49.79,50.12,48.95,89927600,AAPL,-0.2587064676616957,Apple
2019-08-13,50.26,53.04,50.12,52.24,51.03,188874000,AAPL,4.229848363926592,Apple
2019-08-14,50.79,51.61,50.65,50.69,49.51,146189600,AAPL,-2.96707503828485,Apple
2019-08-15,50.87,51.28,49.92,50.44,49.26,108909600,AAPL,-0.49319392385085425,Apple
2019-08-16,51.07,51.79,50.96,51.62,50.42,110481600,AAPL,2.339413164155424,Apple
2019-08-19,52.65,53.18,52.51,52.59,51.36,97654400,AAPL,1.8791166214645605,Apple
2019-08-20,52.72,53.34,52.58,52.59,51.37,107537200,AAPL,0.0,Apple
2019-08-21,53.25,53.41,52.9,53.16,51.92,86141600,AAPL,1.083856246434678,Apple
2019-08-22,53.3,53.61,52.69,53.12,51.88,89014800,AAPL,-0.07524454477050302,Apple
2019-08-23,52.36,53.01,50.25,50.66,49.48,187272000,AAPL,-4.631024096385539,Apple
2019-08-26,51.46,51.8,51.26,51.62,50.42,104174400,AAPL,1.8949861823924108,Apple
2019-08-27,51.96,52.14,50.88,51.04,49.85,103493200,AAPL,-1.1235955056179692,Apple
2019-08-28,51.03,51.43,50.83,51.38,50.19,63755200,AAPL,0.6661442006269613,Apple
2019-08-29,52.12,52.33,51.67,52.25,51.04,83962000,AAPL,1.693265862203197,Apple
