brand,Date,stocktwits_count
Airbnb,2020-12-21,338
Airbnb,2020-12-28,378
Airbnb,2021-01-04,595
Airbnb,2021-01-11,842
Airbnb,2021-01-18,569
Airbnb,2021-01-25,450
Airbnb,2021-02-01,364
Airbnb,2021-02-08,437
Airbnb,2021-02-15,224
Airbnb,2021-02-22,1055
Airbnb,2021-03-01,797
Airbnb,2021-03-08,579
Airbnb,2021-03-15,407
Airbnb,2021-03-22,371
Airbnb,2021-13,264
Airbnb,2021-14,338
Airbnb,2021-15,117
Apple,2021-02-22,4115
Apple,2021-03-01,4538
Coca-Cola,2020-05-25,99
Coca-Cola,2020-06-01,132
Coca-Cola,2020-06-08,207
Coca-Cola,2020-06-15,190
Coca-Cola,2020-06-22,243
Coca-Cola,2020-06-29,201
Coca-Cola,2020-07-06,207
Coca-Cola,2020-07-13,229
Coca-Cola,2020-07-20,495
Coca-Cola,2020-07-27,269
Coca-Cola,2020-08-03,186
Coca-Cola,2020-08-10,126
Coca-Cola,2020-08-17,173
Coca-Cola,2020-08-24,272
Coca-Cola,2020-08-31,290
Coca-Cola,2020-09-07,134
Coca-Cola,2020-09-14,168
Coca-Cola,2020-09-21,169
Coca-Cola,2020-09-28,173
Coca-Cola,2020-10-05,133
Coca-Cola,2020-10-12,177
Coca-Cola,2020-10-19,488
Coca-Cola,2020-10-26,147
Coca-Cola,2020-11-02,97
Coca-Cola,2020-11-09,145
Coca-Cola,2020-11-16,81
Coca-Cola,2020-11-23,81
Coca-Cola,2020-11-30,103
Coca-Cola,2020-12-07,95
Coca-Cola,2020-12-14,102
Coca-Cola,2020-12-21,49
Coca-Cola,2020-12-28,82
Coca-Cola,2021-01-04,500
Coca-Cola,2021-01-11,431
Coca-Cola,2021-01-18,649
Coca-Cola,2021-01-25,376
Coca-Cola,2021-02-01,710
Coca-Cola,2021-02-08,596
Coca-Cola,2021-02-15,242
Coca-Cola,2021-02-22,625
Coca-Cola,2021-03-01,139
HM,2018-08,1
HM,2018-12,2
HM,2018-20,1
HM,2018-21,3
HM,2018-25,1
HM,2018-28,1
HM,2018-33,1
HM,2018-37,1
HM,2018-38,1
HM,2018-39,1
HM,2018-48,1
HM,2018-49,1
HM,2018-52,1
HM,2019-01,2
HM,2019-04,2
HM,2019-05,1
HM,2019-06,1
HM,2019-07,1
HM,2019-07-08,2
HM,2019-07-22,1
HM,2019-08-12,1
HM,2019-08-19,1
HM,2019-08-26,3
HM,2019-09,1
HM,2019-09-02,1
HM,2019-09-09,1
HM,2019-09-23,1
HM,2019-09-30,8
HM,2019-10-07,1
HM,2019-10-14,3
HM,2019-10-21,1
HM,2019-11-04,1
HM,2019-11-11,1
HM,2019-11-25,3
HM,2019-12,2
HM,2019-12-02,2
HM,2019-12-16,2
HM,2019-12-23,1
HM,2019-12-30,1
HM,2019-18,1
HM,2019-20,1
HM,2019-22,1
HM,2019-25,2
HM,2020-01-06,2
HM,2020-01-27,1
HM,2020-02-10,2
HM,2020-02-24,1
HM,2020-03-02,2
HM,2020-03-16,2
HM,2020-03-23,5
HM,2020-03-30,12
HM,2020-04-06,2
HM,2020-04-13,3
HM,2020-04-20,1
HM,2020-04-27,2
HM,2020-05-04,3
HM,2020-05-11,4
HM,2020-05-25,2
HM,2020-06-01,1
HM,2020-06-15,5
HM,2020-06-22,7
HM,2020-06-29,3
HM,2020-07-06,1
HM,2020-08-03,1
HM,2020-08-31,1
HM,2020-09-07,2
HM,2020-09-14,9
HM,2020-09-28,10
HM,2020-10-05,2
HM,2020-10-12,2
HM,2020-10-26,1
HM,2020-11-02,1
HM,2020-12-07,1
HM,2020-12-28,1
HM,2021-01-11,1
HM,2021-01-25,8
HM,2021-02-01,2
HM,2021-02-15,1
HM,2021-02-22,2
HM,2021-03-08,1
HM,2021-03-15,10
HM,2021-03-22,22
HM,2021-13,14
HM,2021-14,2
Nike,2020-04-06,41
Nike,2020-04-13,157
Nike,2020-04-20,96
Nike,2020-04-27,87
Nike,2020-05-04,92
Nike,2020-05-11,162
Nike,2020-05-18,129
Nike,2020-05-25,176
Nike,2020-06-01,239
Nike,2020-06-08,127
Nike,2020-06-15,160
Nike,2020-06-22,1511
Nike,2020-06-29,238
Nike,2020-07-06,136
Nike,2020-07-13,91
Nike,2020-07-20,234
Nike,2020-07-27,94
Nike,2020-08-03,192
Nike,2020-08-10,226
Nike,2020-08-17,227
Nike,2020-08-24,241
Nike,2020-08-31,188
Nike,2020-09-07,238
Nike,2020-09-14,371
Nike,2020-09-21,1931
Nike,2020-09-28,211
Nike,2020-10-05,204
Nike,2020-10-12,118
Nike,2020-10-19,170
Nike,2020-10-26,149
Nike,2020-11-02,104
Nike,2020-11-09,160
Nike,2020-11-16,207
Nike,2020-11-23,132
Nike,2020-11-30,173
Nike,2020-12-07,202
Nike,2020-12-14,862
Nike,2020-12-21,429
Nike,2020-12-28,172
Nike,2021-01-04,153
Nike,2021-01-11,146
Nike,2021-01-18,130
Nike,2021-01-25,197
Nike,2021-02-01,209
Nike,2021-02-08,196
Nike,2021-02-15,178
Nike,2021-02-22,227
Nike,2021-03-01,176
Nike,2021-03-08,179
Nike,2021-03-15,656
Nike,2021-03-22,651
Nike,2021-13,248
Nike,2021-14,160
Nike,2021-15,207
Nike,2021-16,316
Nike,2021-17,18
Starbucks,2020-05-25,113
Starbucks,2020-06-01,292
Starbucks,2020-06-08,915
Starbucks,2020-06-15,306
Starbucks,2020-06-22,302
Starbucks,2020-06-29,263
Starbucks,2020-07-06,170
Starbucks,2020-07-13,225
Starbucks,2020-07-20,295
Starbucks,2020-07-27,768
Starbucks,2020-08-03,156
Starbucks,2020-08-10,187
Starbucks,2020-08-17,129
Starbucks,2020-08-24,448
Starbucks,2020-08-31,327
Starbucks,2020-09-07,243
Starbucks,2020-09-14,289
Starbucks,2020-09-21,115
Starbucks,2020-09-28,202
Starbucks,2020-10-05,246
Starbucks,2020-10-12,154
Starbucks,2020-10-19,138
Starbucks,2020-10-26,371
Starbucks,2020-11-02,172
Starbucks,2020-11-09,212
Starbucks,2020-11-16,263
Starbucks,2020-11-23,104
Starbucks,2020-11-30,215
Starbucks,2020-12-07,542
Starbucks,2020-12-14,193
Starbucks,2020-12-21,134
Starbucks,2020-12-28,161
Starbucks,2021-01-04,197
Starbucks,2021-01-11,179
Starbucks,2021-01-18,165
Starbucks,2021-01-25,773
Starbucks,2021-02-01,343
Starbucks,2021-02-08,193
Starbucks,2021-02-15,135
Starbucks,2021-02-22,308
Starbucks,2021-03-01,113
