brand,Date,tweets_count
Airbnb,2019-07-01,388
Airbnb,2019-07-02,397
Airbnb,2019-07-03,348
Airbnb,2019-07-04,338
Airbnb,2019-07-05,269
Airbnb,2019-07-06,256
Airbnb,2019-07-07,231
Airbnb,2019-07-08,297
Airbnb,2019-07-09,341
Airbnb,2019-07-10,380
Airbnb,2019-07-11,385
Airbnb,2019-07-12,420
Airbnb,2019-07-13,290
Airbnb,2019-07-14,290
Airbnb,2019-07-15,328
Airbnb,2019-07-16,375
Airbnb,2019-07-17,391
Airbnb,2019-07-18,365
Airbnb,2019-07-19,360
Airbnb,2019-07-20,277
Airbnb,2019-07-21,233
Airbnb,2019-07-22,350
Airbnb,2019-07-23,368
Airbnb,2019-07-24,387
Airbnb,2019-07-25,371
Airbnb,2019-07-26,395
Airbnb,2019-07-27,297
Airbnb,2019-07-28,297
Airbnb,2019-07-29,426
Airbnb,2019-07-30,470
Airbnb,2019-07-31,368
Airbnb,2019-08-01,379
Airbnb,2019-08-02,333
Airbnb,2019-08-03,323
Airbnb,2019-08-04,272
Airbnb,2019-08-05,352
Airbnb,2019-08-06,406
Airbnb,2019-08-07,385
Airbnb,2019-08-08,326
Airbnb,2019-08-09,361
Airbnb,2019-08-10,286
Airbnb,2019-08-11,234
Airbnb,2019-08-12,314
Airbnb,2019-08-13,346
Airbnb,2019-08-14,371
Airbnb,2019-08-15,314
Airbnb,2019-08-16,329
Airbnb,2019-08-17,240
Airbnb,2019-08-18,301
Airbnb,2019-08-19,334
Airbnb,2019-08-20,412
Airbnb,2019-08-21,374
Airbnb,2019-08-22,351
Airbnb,2019-08-23,326
Airbnb,2019-08-24,292
Airbnb,2019-08-25,270
Airbnb,2019-08-26,339
Airbnb,2019-08-27,392
Airbnb,2019-08-28,325
Airbnb,2019-08-29,351
Airbnb,2019-08-30,343
Airbnb,2019-08-31,280
Airbnb,2019-09-01,239
Airbnb,2019-09-02,299
Airbnb,2019-09-03,309
Airbnb,2019-09-04,348
Airbnb,2019-09-05,348
Airbnb,2019-09-06,358
Airbnb,2019-09-07,285
Airbnb,2019-09-08,253
Airbnb,2019-09-09,316
Airbnb,2019-09-10,304
Airbnb,2019-09-11,321
Airbnb,2019-09-12,321
Airbnb,2019-09-13,334
Airbnb,2019-09-14,263
Airbnb,2019-09-15,239
Airbnb,2019-09-16,281
Airbnb,2019-09-17,357
Airbnb,2019-09-18,390
Airbnb,2019-09-19,517
Airbnb,2019-09-20,484
Airbnb,2019-09-21,296
Airbnb,2019-09-22,277
Airbnb,2019-09-23,380
Airbnb,2019-09-24,352
Airbnb,2019-09-25,350
Airbnb,2019-09-26,343
Airbnb,2019-09-27,337
Airbnb,2019-09-28,299
Airbnb,2019-09-29,273
Airbnb,2019-09-30,337
Airbnb,2019-10-01,362
Airbnb,2019-10-02,376
Airbnb,2019-10-03,372
Airbnb,2019-10-04,415
Airbnb,2019-10-05,286
Airbnb,2019-10-06,264
Airbnb,2019-10-07,299
Airbnb,2019-10-08,383
Airbnb,2019-10-09,320
Airbnb,2019-10-10,351
Airbnb,2019-10-11,302
Airbnb,2019-10-12,258
