brand,Date,tweets_count
Airbnb,2019-07,10688
Airbnb,2019-08,10261
Airbnb,2019-09,9810
Airbnb,2019-10,9824
Airbnb,2019-11,9623
Airbnb,2019-12,7095
Airbnb,2020-01,10550
Airbnb,2020-02,11097
Airbnb,2020-03,10107
Airbnb,2020-04,7821
Airbnb,2020-05,8221
Airbnb,2020-06,6989
Airbnb,2020-07,7810
Airbnb,2020-08,8233
Airbnb,2020-09,8186
Airbnb,2020-10,7379
Apple,2019-07,82174
Apple,2019-08,75972
Apple,2019-09,121486
Apple,2019-10,96342
Apple,2019-11,66932
Apple,2019-12,54592
Apple,2020-01,72284
Apple,2020-02,68124
Apple,2020-03,77616
Apple,2020-04,84219
Apple,2020-05,83123
Apple,2020-06,101152
Apple,2020-07,103848
Apple,2020-08,107378
Apple,2020-09,120344
Apple,2020-10,139879
Coca-Cola,2019-07,7310
Coca-Cola,2019-08,6318
Coca-Cola,2019-09,5280
Coca-Cola,2019-10,6002
Coca-Cola,2019-11,5090
Coca-Cola,2019-12,5723
Coca-Cola,2020-01,5326
Coca-Cola,2020-02,4411
Coca-Cola,2020-03,4316
Coca-Cola,2020-04,4239
Coca-Cola,2020-05,4580
Coca-Cola,2020-06,5779
Coca-Cola,2020-07,5510
Coca-Cola,2020-08,5333
Coca-Cola,2020-09,4512
Coca-Cola,2020-10,4678
HM,2019-07,5459
HM,2019-08,5814
HM,2019-09,5822
HM,2019-10,5907
HM,2019-11,3354
HM,2019-12,3190
HM,2020-01,4401
HM,2020-02,5147
HM,2020-03,5100
HM,2020-04,4762
HM,2020-05,5818
HM,2020-06,5460
HM,2020-07,4921
HM,2020-08,5353
HM,2020-09,5121
HM,2020-10,5226
Nike,2019-07,60663
Nike,2019-08,48620
Nike,2019-09,43988
Nike,2019-10,50211
Nike,2019-11,35227
Nike,2019-12,30222
Nike,2020-01,38312
Nike,2020-02,43956
Nike,2020-03,46429
Nike,2020-04,43759
Nike,2020-05,51041
Nike,2020-06,50294
Nike,2020-07,54892
Nike,2020-08,57049
Nike,2020-09,46779
Nike,2020-10,41266
Starbucks,2019-07,17488
Starbucks,2019-08,15225
Starbucks,2019-09,15695
Starbucks,2019-10,16327
Starbucks,2019-11,16762
Starbucks,2019-12,22346
Starbucks,2020-01,13314
Starbucks,2020-02,13738
Starbucks,2020-03,14390
Starbucks,2020-04,8108
Starbucks,2020-05,10381
Starbucks,2020-06,15459
Starbucks,2020-07,11806
Starbucks,2020-08,12014
Starbucks,2020-09,12253
Starbucks,2020-10,11225
