brand,Date,tweets_count
Airbnb,2019-07-01,1996
Airbnb,2019-07-08,2344
Airbnb,2019-07-15,2386
Airbnb,2019-07-22,2401
Airbnb,2019-07-29,2596
Airbnb,2019-08-05,2388
Airbnb,2019-08-12,2148
Airbnb,2019-08-19,2390
Airbnb,2019-08-26,2300
Airbnb,2019-09-02,2186
Airbnb,2019-09-09,2112
Airbnb,2019-09-16,2564
Airbnb,2019-09-23,2338
Airbnb,2019-09-30,2421
Airbnb,2019-10-07,2177
Airbnb,2019-10-14,2212
Airbnb,2019-10-21,2259
Airbnb,2019-10-28,2075
Airbnb,2019-11-04,2620
Airbnb,2019-11-11,2106
Airbnb,2019-11-18,2329
Airbnb,2019-11-25,1858
Airbnb,2019-12-02,1661
Airbnb,2019-12-09,1555
Airbnb,2019-12-16,1768
Airbnb,2019-12-23,1389
Airbnb,2019-12-30,722
Airbnb,2020-00,951
Airbnb,2020-01-06,2220
Airbnb,2020-01-13,2670
Airbnb,2020-01-20,2467
Airbnb,2020-01-27,2670
Airbnb,2020-02-03,2569
Airbnb,2020-02-10,2657
Airbnb,2020-02-17,3097
Airbnb,2020-02-24,2346
Airbnb,2020-03-02,2270
Airbnb,2020-03-09,2560
Airbnb,2020-03-16,2173
Airbnb,2020-03-23,2166
Airbnb,2020-03-30,2247
Airbnb,2020-04-06,2075
Airbnb,2020-04-13,1554
Airbnb,2020-04-20,1551
Airbnb,2020-04-27,1740
Airbnb,2020-05-04,2492
Airbnb,2020-05-11,1779
Airbnb,2020-05-18,1684
Airbnb,2020-05-25,1668
Airbnb,2020-06-01,1380
Airbnb,2020-06-08,1539
Airbnb,2020-06-15,1627
Airbnb,2020-06-22,1932
Airbnb,2020-06-29,1665
Airbnb,2020-07-06,1599
Airbnb,2020-07-13,1722
Airbnb,2020-07-20,2085
Airbnb,2020-07-27,1608
Airbnb,2020-08-03,1475
Airbnb,2020-08-10,2155
Airbnb,2020-08-17,2278
Airbnb,2020-08-24,1691
Airbnb,2020-08-31,1828
Airbnb,2020-09-07,1596
Airbnb,2020-09-14,1857
Airbnb,2020-09-21,2196
Airbnb,2020-09-28,2142
Airbnb,2020-10-05,1704
Airbnb,2020-10-12,1642
Airbnb,2020-10-19,1680
Airbnb,2020-10-26,1386
Apple,2019-07-01,15722
Apple,2019-07-08,18260
Apple,2019-07-15,17371
Apple,2019-07-22,19497
Apple,2019-07-29,12314
Apple,2019-08-05,18578
Apple,2019-08-12,17215
Apple,2019-08-19,18866
Apple,2019-08-26,20323
Apple,2019-09-02,18150
Apple,2019-09-09,47121
Apple,2019-09-16,26574
Apple,2019-09-23,23578
Apple,2019-09-30,21878
Apple,2019-10-07,25939
Apple,2019-10-14,20730
Apple,2019-10-21,17966
Apple,2019-10-28,20612
Apple,2019-11-04,15656
Apple,2019-11-11,17267
Apple,2019-11-18,15034
Apple,2019-11-25,14255
Apple,2019-12-02,13240
Apple,2019-12-09,13980
Apple,2019-12-16,12427
Apple,2019-12-23,10560
Apple,2019-12-30,4385
Apple,2020-00,6631
Apple,2020-01-06,15040
Apple,2020-01-13,18172
Apple,2020-01-20,16887
Apple,2020-01-27,17898
Apple,2020-02-03,15967
Apple,2020-02-10,15536
Apple,2020-02-17,16729
Apple,2020-02-24,17548
Apple,2020-03-02,18012
Apple,2020-03-09,18187
Apple,2020-03-16,17910
Apple,2020-03-23,16839
Apple,2020-03-30,16550
Apple,2020-04-06,17323
Apple,2020-04-13,22878
Apple,2020-04-20,20330
Apple,2020-04-27,18844
Apple,2020-05-04,19934
Apple,2020-05-11,19014
Apple,2020-05-18,19395
Apple,2020-05-25,17457
Apple,2020-06-01,18727
Apple,2020-06-08,18665
Apple,2020-06-15,20804
Apple,2020-06-22,35643
Apple,2020-06-29,21047
Apple,2020-07-06,21214
Apple,2020-07-13,27921
Apple,2020-07-20,23047
Apple,2020-07-27,23259
Apple,2020-08-03,21415
Apple,2020-08-10,27947
Apple,2020-08-17,25030
