Brand,Buzz,Impression,Quality,Value,Reputation,Satisfaction,Recommend,Awareness,Attention,Ad Awareness,WOM Exposure,Consideration,Purchase Intent,Current Customer ,Former Customer,Date
BMW,1.3,5.9,23.3,-10.4,20.8,-0.5,1.2,81.4,10.4,3.9,5.3,9.2,3.1,2.4,5.6,2019-07-01
BMW,2.9,25.6,32.7,3.1,29.2,0.0,13.9,86.5,5.8,15.2,7.1,6.6,1.1,0.0,0.7,2019-07-02
BMW,5.9,21.4,33.0,-6.8,19.2,4.1,7.7,79.4,13.3,21.0,7.1,7.8,1.9,0.7,4.1,2019-07-03
BMW,8.3,13.7,15.8,3.3,15.0,1.4,7.5,77.2,12.6,9.2,0.7,4.8,0.0,0.7,1.4,2019-07-04
BMW,8.5,26.4,26.7,2.9,19.6,3.7,11.7,85.4,9.9,11.5,6.1,8.0,6.5,4.2,2.4,2019-07-05
BMW,3.8,18.6,25.3,-0.5,25.4,0.0,6.7,84.1,6.7,15.6,1.4,6.8,3.0,0.0,0.0,2019-07-06
BMW,3.3,34.0,30.2,5.4,31.1,4.6,13.7,89.1,14.1,19.5,5.4,7.1,0.0,4.6,6.2,2019-07-07
BMW,6.1,22.7,24.3,-2.5,31.3,4.3,10.8,89.3,9.6,19.2,7.8,12.7,1.5,0.8,3.5,2019-07-08
BMW,3.0,23.2,41.8,-2.5,26.0,4.5,7.0,89.1,12.4,12.5,8.5,7.1,1.5,2.2,2.2,2019-07-09
BMW,-2.2,23.4,33.7,3.2,29.1,3.7,9.6,84.0,12.2,13.5,4.4,6.0,1.6,1.4,7.4,2019-07-10
BMW,10.4,20.9,23.3,0.0,24.3,0.0,12.2,85.1,13.4,9.0,1.5,6.7,0.0,0.0,4.2,2019-07-11
BMW,2.9,22.2,28.7,-11.0,27.0,1.8,6.6,87.2,10.4,8.1,4.1,5.9,0.0,1.6,3.6,2019-07-12
BMW,6.3,19.7,23.5,1.7,21.1,1.9,10.8,83.4,12.7,15.2,4.2,12.5,3.4,0.8,3.5,2019-07-13
BMW,4.4,21.8,19.5,0.1,21.4,-1.1,6.0,86.3,4.4,9.6,7.4,3.8,0.8,0.0,3.8,2019-07-14
BMW,5.8,29.2,44.2,10.3,39.1,3.4,13.6,95.5,11.7,17.2,8.4,9.6,1.2,3.0,2.2,2019-07-15
BMW,2.1,25.1,31.8,1.5,23.8,2.8,10.3,90.7,3.5,6.5,8.7,4.4,0.7,1.4,1.4,2019-07-16
BMW,9.8,33.6,33.5,5.6,26.0,8.3,16.6,88.5,16.2,14.0,10.8,16.5,5.3,9.1,2.2,2019-07-17
BMW,8.1,19.8,34.0,2.9,25.3,0.1,11.2,89.3,14.5,11.3,8.5,9.2,2.7,0.8,3.0,2019-07-18
BMW,11.6,28.5,29.8,4.3,30.6,1.7,13.9,82.7,11.6,15.6,4.8,2.6,1.9,0.7,3.7,2019-07-19
BMW,6.7,15.5,26.8,3.5,15.1,-1.7,15.2,83.9,11.2,11.5,4.0,3.5,0.0,0.0,1.7,2019-07-20
BMW,-1.1,24.3,31.9,-9.6,32.5,4.1,7.4,90.1,11.2,8.1,5.2,5.1,1.0,0.0,5.1,2019-07-21
BMW,1.9,27.2,31.2,3.1,30.6,4.2,9.9,84.1,7.1,5.4,6.3,7.1,0.0,1.7,2.5,2019-07-22
BMW,7.9,23.2,31.5,2.8,24.7,1.6,10.4,89.1,7.9,7.5,5.1,3.2,0.8,0.8,1.6,2019-07-23
BMW,19.2,32.8,35.7,-8.4,29.9,8.6,16.0,87.2,19.2,18.3,8.1,11.8,2.8,6.5,2.8,2019-07-24
BMW,8.2,25.9,32.2,7.5,25.2,6.1,16.4,82.1,8.2,10.8,8.0,11.2,0.0,5.3,1.6,2019-07-25
BMW,5.8,21.6,23.0,-2.3,25.7,4.0,8.0,80.6,7.4,7.5,4.9,8.3,1.6,1.6,2.4,2019-07-26
BMW,5.5,25.6,33.7,-7.2,26.2,2.5,12.9,89.3,21.0,15.0,12.2,9.4,3.6,1.7,3.3,2019-07-27
BMW,-2.7,9.6,27.4,-2.8,19.4,0.8,4.2,84.1,9.1,12.0,5.4,3.2,0.0,0.8,3.4,2019-07-28
BMW,9.0,21.3,29.8,4.0,17.4,4.7,11.8,82.3,16.6,5.5,8.5,8.5,2.0,1.6,3.1,2019-07-29
BMW,2.8,23.7,31.6,3.1,28.0,3.1,7.9,88.9,9.0,8.2,5.5,6.3,1.6,2.3,0.8,2019-07-30
BMW,9.5,17.7,24.8,-2.5,15.1,4.8,10.1,87.3,14.9,12.6,9.4,6.7,2.4,3.2,5.7,2019-07-31
BMW,4.1,16.5,31.5,-10.5,26.0,2.0,7.8,96.1,6.1,10.6,6.6,8.1,1.0,2.0,4.0,2019-08-01
BMW,5.0,21.6,27.1,2.5,27.0,5.0,12.0,91.2,6.6,8.9,5.8,9.7,0.0,4.2,4.2,2019-08-02
BMW,2.6,18.2,23.6,-9.4,31.7,0.6,12.3,93.0,4.2,12.7,2.5,9.6,1.7,0.8,4.6,2019-08-03
BMW,18.4,15.0,20.9,-6.9,19.9,0.9,7.4,86.4,18.4,11.3,7.0,11.4,5.3,0.0,3.5,2019-08-04
BMW,8.9,23.4,35.4,6.1,35.4,5.7,13.5,86.4,8.9,11.1,5.6,9.4,1.5,4.1,3.2,2019-08-05
BMW,15.1,33.3,34.2,6.1,23.2,7.7,12.2,85.0,19.3,12.7,10.2,11.2,0.0,6.9,1.7,2019-08-06
BMW,7.4,27.5,30.5,-1.8,32.8,9.0,12.9,88.3,9.0,8.4,7.2,10.9,4.2,3.3,7.3,2019-08-07
BMW,4.4,19.6,33.0,1.2,23.4,2.4,8.2,80.4,4.4,6.5,4.0,1.6,0.0,0.0,5.2,2019-08-08
BMW,5.8,21.6,22.7,-2.1,20.6,0.2,15.6,85.4,11.7,8.8,13.4,10.2,5.7,5.6,0.7,2019-08-09
BMW,-0.1,19.8,27.5,0.3,23.5,1.8,8.3,92.5,7.1,9.3,4.6,9.3,0.0,0.9,4.9,2019-08-10
BMW,2.0,17.9,21.7,-7.1,21.6,9.9,9.7,90.5,11.6,11.8,11.5,4.6,0.8,1.6,9.9,2019-08-11
BMW,8.6,17.3,25.0,-3.6,27.4,2.7,6.2,81.0,9.9,8.3,4.6,3.8,0.0,0.7,5.9,2019-08-12
BMW,2.9,14.7,28.0,-5.3,27.4,2.5,-4.3,85.8,13.5,10.4,7.2,3.4,0.8,3.4,0.8,2019-08-13
BMW,15.5,33.6,39.9,2.4,29.4,4.2,16.6,91.6,19.7,13.8,8.0,5.9,1.4,2.1,2.8,2019-08-14
BMW,16.3,27.1,31.9,3.5,22.6,5.3,11.7,86.4,18.0,14.1,10.8,7.2,0.9,2.6,3.5,2019-08-15
BMW,5.8,12.1,19.6,3.7,19.7,2.3,10.5,79.3,7.3,11.3,6.0,5.4,0.8,0.8,3.9,2019-08-16
BMW,13.3,25.7,35.1,4.5,33.4,1.9,6.3,93.2,18.3,10.3,8.5,6.9,0.0,1.2,2.1,2019-08-17
BMW,11.0,27.5,34.8,14.1,35.6,3.4,15.4,85.7,13.9,11.6,7.2,7.9,2.3,2.2,4.3,2019-08-18
BMW,9.6,31.1,47.7,12.1,33.7,4.6,10.8,82.8,9.6,11.0,6.2,8.7,0.8,2.9,5.5,2019-08-19
BMW,12.2,31.0,41.8,0.2,29.7,6.8,18.6,90.1,15.8,10.7,8.8,7.1,0.0,7.1,3.4,2019-08-20
BMW,10.8,24.0,26.4,-0.3,23.1,2.4,15.5,90.9,13.4,16.8,6.2,5.0,2.4,2.4,4.3,2019-08-21
BMW,10.4,17.2,31.7,0.0,26.5,1.5,12.5,85.0,11.8,13.5,6.1,11.2,2.0,1.5,1.5,2019-08-22
BMW,5.2,18.7,21.9,-6.6,23.4,-0.2,-1.4,89.4,16.7,12.1,9.0,6.7,1.5,0.8,8.2,2019-08-23
BMW,1.5,12.5,27.3,0.4,23.5,-0.7,9.4,83.4,11.2,6.9,0.0,6.1,1.6,0.0,1.4,2019-08-24
BMW,12.5,24.4,31.2,-5.8,23.3,3.4,7.4,97.3,13.8,13.7,8.9,7.2,2.7,4.8,3.8,2019-08-25
